Month,Short-term Visitors arriving - Under 1 week,Short-term Visitors arriving - Over 1 and under 2 weeks,Short-term Visitors arriving - Over 2 weeks and under 1 month,Short-term Visitors arriving - Over 1 and under 2 months,Short-term Visitors arriving - Over 2 and under 3 months,Short-term Visitors arriving - Over 3 and under 6 months,Short-term Visitors arriving - Over 6 and under 12 months,Short-term Visitors arriving - Total,Short-term Visitors arriving - Convention/conference,Short-term Visitors arriving - Business,Short-term Visitors arriving - Visiting friends/relatives,Short-term Visitors arriving - Holiday,Short-term Visitors arriving - Employment,Short-term Visitors arriving - Education,Short-term Visitors arriving - Other & not stated,Short-term Visitors arriving - Total
Jan-93,76320,73250,37710,23470,8580,9710,13720,242760,1640,15510,36730,160490,2460,10330,15600,242760
Feb-93,72100,67980,41820,28490,8110,9180,17760,245460,3480,23230,39390,146830,2010,14870,15660,245460
Mar-93,75470,81500,50260,27950,8580,7010,7180,257950,3160,25390,49020,160410,1910,2850,15210,257950
Apr-93,72950,71400,41180,21980,5540,5580,7690,226320,4360,20920,42350,138750,1750,4360,13830,226320
May-93,71120,72400,38930,15510,3940,6280,5230,213410,11050,22440,33620,129280,1560,2680,12770,213410
Jun-93,72690,58670,34780,20820,5750,6080,5800,204580,2450,19480,32950,131770,1520,3330,13080,204580
Jul-93,67460,61620,55880,33750,5500,8160,12250,244620,4330,20360,41290,148930,2160,12790,14760,244620
Aug-93,80980,74340,48450,19440,3830,5800,7090,239930,2040,23100,38950,154880,2030,3720,15220,239930
Sep-93,72360,67170,41240,22410,5500,7120,8220,224030,7000,22510,38880,134740,2320,3660,14920,224030
Oct-93,78230,83200,51600,27380,7260,9910,9630,267220,4030,28240,43260,174330,2230,5400,9740,267220
Nov-93,85020,91140,50290,26560,10770,13500,8640,285910,4420,31000,49190,185390,2060,2510,11340,285910
Dec-93,80590,101260,79520,50740,12790,11820,7330,344040,2240,16200,84910,224360,2020,2220,12090,344040
Jan-94,74310,67680,42980,27030,10240,11690,16600,250530,1620,19840,42230,158410,3570,13140,11710,250530
Feb-94,87870,97490,49500,30150,9170,10710,19400,304280,3950,29110,43600,197140,2580,16600,11290,304280
Mar-94,89960,104860,59170,29470,7970,8200,7770,307400,5890,31010,53810,198130,2410,3800,12350,307400
